Data_Center,City,Region,Launch_Year,Compute_Power_MW,GPU_Capacity_TFLOPS,AI_Workload_Share_%,Agentic_Integration_Score,Redundancy_Tier,Energy_Source,Resilience_Index,Company,Facility_Type,Power_Efficiency_Score,AI_Readiness_Score,Years_Until_Launch,Is_Operational,Redundancy_Tier_Numeric,Infrastructure_Risk_Score,Digital_Exposure_Score
Blue Origin Data Grid,College Station,Central TX,2029,348.6,6118.02,55,53,Tier IV,Hybrid,2,Blue Origin,Data Grid,17.55,54,4,FALSE,4,88.5,95.1
AT&T AI Core,Austin,Central TX,2026,1150.9,5670.39,62,53,Tier III,Hybrid,3,AT&T AI,AI Core,4.93,57.5,1,FALSE,3,81.4,132.8
Lockheed Martin Cloud Zone,Frisco,North TX,2028,868,1750.85,73,75,Tier IV,Solar,2,Lockheed Martin,Cloud Zone,2.02,74,3,FALSE,4,83.1,82.8
Intel Cloud Zone,Dallas,North TX,2027,292,7033.14,83,29,Tier I,Hybrid,1,Intel Cloud,Cloud Zone,24.09,56,2,FALSE,1,145.1,109.8
AT&T Fusion Cluster,Midland,West TX,2026,629.1,5854.56,95,42,Tier I,Grid,5,AT&T Fusion,Fusion Cluster,9.31,68.5,1,FALSE,1,61.5,118.5
Intel Quantum Facility,Abilene,West TX,2030,702.9,6385.47,75,35,Tier IV,Solar,4,Intel Quantum,Quantum Facility,9.08,55,5,FALSE,4,42.5,121.5
Intel Quantum Facility,Dallas,North TX,2028,519,2445.71,94,23,Tier III,Grid,5,Intel Quantum,Quantum Facility,4.71,58.5,3,FALSE,3,31.8,78.6
Dell Quantum Facility,Abilene,West TX,2025,583.7,5025.95,74,66,Tier I,Grid,4,Dell Quantum,Quantum Facility,8.61,70,0,TRUE,1,87.8,101.6
AWS AI Core,Waco,Central TX,2026,498.5,5280.46,67,57,Tier IV,Solar,4,AWS AI,AI Core,10.59,62,1,FALSE,4,44.9,97.8
SpaceX Compute Hub,Corpus Christi,South TX,2025,491.1,6745.75,92,50,Tier III,Hybrid,1,SpaceX Compute,Compute Hub,13.74,71,0,TRUE,3,112.4,119.6
Raytheon AI Core,Arlington,North TX,2022,472.3,6253.45,51,72,Tier IV,Hybrid,1,Raytheon AI,AI Core,13.24,61.5,-3,TRUE,4,109.7,101.4
IBM Fusion Cluster,Dallas,North TX,2022,830.4,5574.28,83,70,Tier I,Solar,4,IBM Fusion,Fusion Cluster,6.71,76.5,-3,TRUE,1,85.1,122.2
Dell Quantum Facility,Plano,North TX,2027,641.8,3787.88,44,53,Tier IV,Solar,4,Dell Quantum,Quantum Facility,5.9,48.5,2,FALSE,4,51.8,83.2
Nvidia Compute Hub,Odessa,West TX,2027,505.5,5421.8,78,41,Tier II,Solar,1,Nvidia Compute,Compute Hub,10.73,59.5,2,FALSE,2,131.6,102.9
Raytheon Orbital Node,Austin,Central TX,2025,583.1,6598.94,92,17,Tier IV,Grid,3,Raytheon Orbital,Orbital Node,11.32,54.5,0,TRUE,4,57.4,122.7
AWS Fusion Cluster,Austin,Central TX,2025,263,6407.11,41,33,Tier II,Hybrid,2,AWS Fusion,Fusion Cluster,24.36,37,0,TRUE,2,122.7,89.5
Raytheon Fusion Cluster,Irving,North TX,2026,737,4177.85,89,61,Tier II,Grid,5,Raytheon Fusion,Fusion Cluster,5.67,75,1,FALSE,2,48.3,105.3
Intel Orbital Node,Houston,South TX,2025,571.1,5536.92,64,75,Tier IV,Solar,2,Intel Orbital,Orbital Node,9.7,69.5,0,TRUE,4,85.8,103.1
